Date,Open,High,Low,Close,Volume
2020-01-01,101.25401626399939,103.50212368923482,100.07581615039913,102.85633478768709,17494
2020-01-02,103.47077177764896,106.52306940652632,100.35492416897347,103.20477268435393,40657
2020-01-03,102.50468904364301,106.852541108641,97.52013556353934,105.30370720114033,10419
2020-01-06,106.67062906925715,110.29633167689394,103.32870638633649,109.91593072067785,13878
2020-01-07,111.53726505928269,113.34856011952299,108.1786199998933,110.79083006291646,45699
2020-01-08,109.23173909026306,113.48939464321084,105.05629853197628,109.28563676288776,24476
2020-01-09,108.08147219840028,108.90248007746253,103.97513052314099,108.32789522619068,15760
2020-01-10,108.16095708556645,111.0934696574837,106.5001132313768,109.12628876116449,22940
2020-01-13,108.24477169010424,111.52134802872115,106.66229797512926,108.48993368646383,39391
2020-01-14,107.99354558794077,109.10638828597084,105.72675360869428,107.22764259562308,29977
2020-01-15,108.93116105832685,110.88721995979793,106.61184429768903,110.22597722390509,16403
2020-01-16,109.96892357496874,113.2397337672665,105.1796468193385,108.99354195375902,34109
2020-01-17,108.16842083559996,112.81462200629791,107.16641318836338,112.36487008983588,15369
2020-01-20,110.37224726120608,110.460598172886,109.42597694883926,109.50727270904017,13781
2020-01-21,107.79349337481467,110.99010107953008,106.93219798493703,110.96883056776052,13876
2020-01-22,111.93264928110749,115.75932204203964,107.82464666182594,113.76974984766818,27470
2020-01-23,112.78731134457517,117.02277043382945,111.88618680049525,115.99985102054457,22677
2020-01-24,115.11360552088551,116.4667960976337,111.1210399419022,112.20782746532969,26441
2020-01-27,113.85639103078354,113.9106741408134,112.78965703783273,113.83971973351764,10043
2020-01-28,112.25272944383504,116.4078976464231,111.41064745026478,113.22877415641368,32456
2020-01-29,111.595802277911,115.94175227319788,109.86805095462722,115.64868538574612,46763
2020-01-30,115.08119792701164,119.7981731435875,111.69085482337644,117.48298273122315,43655
2020-01-31,116.82871693788607,120.43567069668627,116.43791695434994,119.37889119745988,43477
2020-02-03,120.90233538531587,123.6707176364927,119.09955362593925,120.96740704336626,10601
2020-02-04,120.60172228526623,124.98316127657951,118.66187025597058,121.59999487346997,23849
2020-02-05,121.73239661301565,121.85539673900342,120.47797463846229,121.14637490144177,28212
2020-02-06,122.82024133485,125.06412566933632,120.89036416374725,121.79656039398756,35822
2020-02-07,121.37073998395755,123.23128520624904,117.54774989156597,119.68536859770515,31332
2020-02-10,119.38494965062166,120.81197147870468,118.03328451606087,119.80190228394466,23450
2020-02-11,120.82177325326576,121.01362745660433,120.71717924593156,120.9257783318265,41472
2020-02-12,122.76242644357902,123.69920698207818,117.98529014029592,122.49172235344746,32196
2020-02-13,123.57511783094866,127.53157989005915,120.06557006702832,121.71340575027662,32703
2020-02-14,120.79309424337694,125.15303110872296,120.25982747294475,120.36834089527068,40060
2020-02-17,119.65374987578772,122.0664789621089,118.9740138476224,120.48328686144698,27315
2020-02-18,119.51193086510187,119.72271107677474,118.25477867224657,119.12206475722114,23261
2020-02-19,120.76289201467145,120.79395026219008,120.29645734841127,120.57104233201768,21543
2020-02-20,122.54665297219674,127.28685216298867,121.29885812445997,121.85634642672241,23337
2020-02-21,120.83613585887764,120.96579602570162,118.31813429734436,119.51192458924095,15619
2020-02-24,118.89649484127021,121.24136817060207,116.18375349665467,119.30829947682882,41353
2020-02-25,121.28237895969853,121.86937442632012,118.86298872465193,121.75405360083252,36606
2020-02-26,123.22734776968876,123.28199831942338,118.89156593912365,121.75078171023432,30772
2020-02-27,121.65496046728457,126.14888808472604,119.4449316008893,125.24767658077903,27340
2020-02-28,125.09134416238315,125.78403249238127,121.49341750462881,124.11125051427346,19988
2020-03-02,125.68993795231601,129.82413339300493,121.0569645183199,125.64878975341115,15267
2020-03-03,126.69242692903505,131.40927408687816,125.47200842869132,127.98853386871603,47019
2020-03-04,126.64806385720205,129.39359876431757,122.29523033083771,126.67784820280917,33175
2020-03-05,126.48522080685484,130.56303002136673,126.35726724219268,129.10034384673335,26258
2020-03-06,130.12243266380443,130.40666051355907,129.24953540729067,129.60816214532502,23130
2020-03-09,131.04131594529906,132.93400829115637,129.48038829123365,129.9838193220301,14821
2020-03-10,128.14849648841377,132.1262940073011,124.90468306259426,126.17851581465641,17321
2020-03-11,125.65966774018979,130.64142295441633,124.76110655307681,127.63545829806397,12506
2020-03-12,129.60927206396713,133.469799140811,125.47411789572749,133.22202941252726,47425
2020-03-13,134.4325312644306,138.30384409898753,131.8241387421009,133.62406507815257,43349
2020-03-16,134.24747434805204,138.80773050208612,129.39720835696687,134.09923895880118,41137
2020-03-17,133.0526763839175,137.30624318904782,129.20597387196722,130.1615926179782,20882
2020-03-18,129.55852342925175,130.56303593399895,126.58065403101614,130.15875566995808,41707
2020-03-19,130.68460588181827,133.2330543606811,129.4007730611764,132.16864330881327,25326
2020-03-20,133.8122248490204,134.79807992901186,130.92632722372514,131.86161992463238,35233
2020-03-23,133.14461359175124,133.387279686916,129.19825496891664,129.54567064515288,14469
2020-03-24,131.5277598840313,136.13337566728305,129.55195070882098,131.71125588295524,35317
2020-03-25,130.74049515131003,131.34113135362182,128.604934087462,129.23097654262668,31324
2020-03-26,128.2909827276761,131.83304315603942,127.57990597191308,131.0628469515206,44960
2020-03-27,129.14266105707958,131.90091693980688,126.93684336492068,129.42810802213694,45705
2020-03-30,128.67421437609494,130.46819704502084,128.40508014650365,129.51261594561174,15879
2020-03-31,128.9067887885446,131.87176418104409,126.04748862606684,128.14994785474133,21515
2020-04-01,127.21259745908783,132.05486390571545,125.03479132063225,126.40856551788738,43000
